# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	745395
#@/user_id	609eb46f-9fbb-457e-a6d7-e0f6bbed9cc1
a 	啊	c=55 d=0.1 t=726491
he yuan 	河源	c=1 d=1 t=504998
he yue 	合約	c=1 d=1 t=23892
he ze 	菏澤	c=0 d=0.1 t=707318
he zhong 	何種	c=6 d=1 t=614934
he zhun 	覈准	c=1 d=1 t=546177
he zi 	盒子	c=2 d=1 t=622909
he zou 	合奏	c=1 d=1 t=192432
he zu 	合租	c=2 d=1 t=485834
he zu yao 	合租要	c=1 d=1 t=325693
he zu yao shi 	合租鑰匙	c=1 d=1 t=62843
he zuo 	合作	c=643 d=1 t=743891
he zuo bu xia qu 	合作不下去	c=1 d=1 t=35346
he zuo fang 	合作方	c=12 d=1 t=717436
he zuo fang mian 	合作方面	c=1 d=1 t=487466
he zuo fang shi 	合作方式	c=1 d=1 t=319108
he zuo guo 	和做過	c=7 d=1 t=560111
he zuo shang 	合作商	c=1 d=1 t=159057
he zuo zhong 	合作中	c=1 d=1 t=19109
hei 	黑	c=31 d=1 t=737075
hei bai 	黑白	c=2 d=1 t=600545
hei ban 	黑板	c=3 d=1 t=600546
hei chan 	黑產	c=2 d=1 t=400580
hei cheng 	黑成	c=1 d=1 t=201839
hei gong 	黑弓	c=1 d=1 t=288493
hei he 	黑盒	c=4 d=1 t=629519
hei hei 	嘿嘿	c=11 d=1 t=672522
hei hua 	黑話	c=2 d=1 t=161274
hei ke 	黑客	c=0 d=0.1 t=121121
hei ke ji 	黑客機	c=1 d=1 t=121122
hei kuang 	黑框	c=1 d=1 t=204944
hei long jiang 	黑龍江	c=5 d=1 t=231458
hei ming dan 	黑名單	c=10 d=1 t=715327
hei mu 	黑幕	c=1 d=1 t=321575
hei nu 	黑奴	c=0 d=0.1 t=150775
hei nu ge 	黑奴個	c=1 d=1 t=150776
hei pao 	黑袍	c=7 d=1 t=551641
hei ping 	黑屏	c=2 d=1 t=738689
hei ren 	黑人	c=3 d=2.86084 t=247110
hei se 	黑色	c=16 d=1 t=266933
hei se de 	黑色的	c=1 d=1 t=104707
hei xin 	黑心	c=0 d=0.1 t=107848
hei xin ni 	黑心你	c=3 d=1 t=465094
hei ze ming 	黑澤明	c=1 d=1 t=153545
hen 	很	c=773 d=1.01031 t=743484
hen an 	很暗	c=1 d=1 t=738690
hen bang 	很棒	c=1 d=1 t=10353
hen bao 	很薄	c=1 d=1 t=600958
hen bao qian 	很抱歉	c=1 d=1 t=559292
hen bie niu 	很彆扭	c=1 d=1 t=662510
hen bu 	很不	c=3 d=1 t=622791
hen bu cuo 	很不錯	c=24 d=1 t=689949
hen bu gou 	很不夠	c=1 d=1 t=728729
hen bu hao 	很不好	c=2 d=1 t=742728
hen bu rong yi 	很不容易	c=1 d=1 t=237998
hen bu shou 	很不受	c=1 d=1 t=301309
hen bu shuang 	很不爽	c=4 d=1 t=579277
hen bu xi guan 	很不習慣	c=1 d=1 t=59015
hen bu xi huan 	很不喜歡	c=1 d=1 t=654515
hen cha 	很差	c=16 d=1 t=724272
hen cha jin 	很差勁	c=1 d=1 t=675840
hen chang 	很長	c=44 d=1 t=710456
hen chang jian 	很常見	c=7 d=1 t=535029
hen cheng shu 	很成熟	c=3 d=1 t=245544
hen chong 	很重	c=1 d=1 t=209344
hen chou 	很醜	c=3 d=1 t=637815
hen da 	很大	c=246 d=1.00001 t=744749
hen dan 	很淡	c=1 d=1 t=157876
hen dao 	恨到	c=1 d=1 t=27734
hen dao wei 	很到位	c=3 d=1.02678 t=191575
hen di 	很低	c=24 d=1 t=735708
hen du 	狠毒	c=2 d=1 t=203347
hen duan 	很短	c=1 d=1 t=549970
hen duo 	很多	c=898 d=1.3979 t=744622
hen duo ci 	很多次	c=21 d=1.81465 t=742810
hen duo de 	很多的	c=1 d=1 t=308963
hen duo fen er 	很多份兒	c=1 d=1 t=295376
hen duo ge 	很多個	c=9 d=1 t=685008
hen duo qian 	很多錢	c=1 d=1 t=167344
hen duo ren 	很多人	c=22 d=1 t=727297
hen duo zhong 	很多種	c=1 d=1 t=327191
hen fang bian 	很方便	c=2 d=1 t=694540
hen feng fu 	很豐富	c=1 d=1 t=657583
hen fu za 	很複雜	c=4 d=1 t=671399
hen gan xing qu 	很感興趣	c=2 d=1 t=294945
hen gao 	很高	c=80 d=1 t=742636
hen gao xin ai ge 	很高心愛個	c=1 d=1 t=440161
hen gou 	很夠	c=3 d=1 t=369246
hen gu lao 	很古老	c=1 d=1 t=316406
hen guan jian 	很關鍵	c=2 d=1 t=279842
hen guan zhu 	很關注	c=2 d=1 t=516537
hen guang 	很廣	c=2 d=1 t=728748
hen gui 	很貴	c=3 d=1 t=738308
hen guo 	很過	c=1 d=1 t=599648
hen hao 	很好	c=168 d=1.00007 t=745074
hen hao de 	很好的	c=1 d=1 t=131666
hen hao yong 	很好用	c=3 d=1 t=728878
hen he li 	很合理	c=2 d=1 t=525849
hen he shi 	很合適	c=3 d=1 t=422428
hen he xin 	很核心	c=1 d=1 t=213209
hen hen 	狠狠	c=1 d=1 t=576158
hen huai 	很壞	c=1 d=1 t=290380
hen huai yi 	很懷疑	c=1 d=1 t=444492
hen huo 	很火	c=2 d=1 t=286649
hen huo yue 	很活躍	c=1 d=1 t=177633
hen ji 	很急	c=1 d=1 t=713216
hen ji 	痕跡	c=3 d=1 t=713439
hen ji shou 	很棘手	c=1 d=1 t=108129
hen jian dan 	很簡單	c=7 d=1 t=695018
hen jian nan 	很艱難	c=1 d=1 t=287689
hen jin 	很近	c=2 d=1 t=583024
hen jin ji 	很緊急	c=1 d=1 t=288010
hen jiu 	很久	c=62 d=1 t=739651
hen ka 	很卡	c=4 d=1 t=741879
hen kai xin 	很開心	c=1 d=1 t=591766
hen kuai 	很快	c=85 d=1 t=742648
hen kuai ying gai 	很快應該	c=1 d=1 t=175
hen kun nan 	很困難	c=2 d=1 t=656334
hen lan 	很爛	c=2 d=1 t=579219
hen lao 	很老	c=1 d=1 t=557267
hen lei 	很累	c=4 d=1 t=678018
hen lei si 	很類似	c=2 d=1 t=730892
hen li 	狠戾	c=1 d=1 t=246366
hen ling huo 	很靈活	c=1 d=1 t=693877
hen luan 	很亂	c=2 d=1 t=726335
hen ma fan 	很麻煩	c=1 d=1 t=641429
hen man 	很慢	c=13 d=1.85214 t=667356
hen man fan 	很慢飯	c=1 d=1 t=14765
hen man yi 	很滿意	c=1 d=1 t=136277
hen mang 	很忙	c=2 d=1 t=341309
hen ming que 	很明確	c=4 d=1 t=676751
hen ming xian 	很明顯	c=14 d=1.00271 t=675853
hen nan 	很難	c=68 d=1 t=744739
hen nan fa 	很難發	c=1 d=1 t=680203
hen nan gao 	很難搞	c=1 d=1 t=516029
hen nan na 	很難那	c=1 d=1 t=497364
hen nan shou 	很難受	c=2 d=1 t=196089
hen neng 	很能	c=5 d=1 t=578750
hen pang 	很胖	c=1 d=1 t=650554
hen pei fu 	很佩服	c=1 d=1 t=277674
hen pian yi 	很便宜	c=1 d=1 t=314836
hen pin fa 	很頻發	c=1 d=1 t=472803
hen pin fan 	很頻繁	c=1 d=1 t=391895
hen qi guai 	很奇怪	c=10 d=1 t=744956
hen qiang 	很強	c=35 d=1 t=728540
hen qiang lie 	很強烈	c=3 d=1 t=730811
hen qiao 	很巧	c=1 d=1 t=452305
hen qing chu 	很清楚	c=41 d=1.0602 t=737346
hen qing song 	很輕鬆	c=1 d=1 t=575078
hen qing xi 	很清晰	c=5 d=1 t=656215
hen que ding 	很確定	c=1 d=1 t=132767
hen rong guang yi 	很榮光一	c=1 d=1 t=83166
hen rong yi 	很容易	c=61 d=1.1367 t=741723
hen rong yi fu xian 	很容易復現	c=1 d=1 t=703577
hen ruo 	很弱	c=2 d=1 t=482932
hen shao 	很少	c=75 d=1 t=740346
hen shao qu 	很少去	c=1 d=1 t=375793
hen shen 	很深	c=1 d=1 t=556177
hen shen ke 	很深刻	c=1 d=1 t=163227
hen shen ru 	很深入	c=1 d=1 t=367040
hen sheng qi 	很生氣	c=1 d=1 t=428093
hen shi 	很是	c=1 d=1 t=634370
hen shu 	很熟	c=2 d=1 t=143573
hen shu lian 	很熟練	c=1 d=1 t=246289
hen shu xi 	很熟悉	c=8 d=1 t=696120
hen shuang 	很爽	c=1 d=1 t=74071
hen shun li 	很順利	c=1 d=1 t=598441
hen song 	很鬆	c=1 d=1 t=168704
hen tong ku 	很痛苦	c=1 d=1 t=624376
hen wan 	很晚	c=3 d=1 t=108148
hen xi 	很細	c=1 d=1 t=728565
hen xi que 	很稀缺	c=1 d=1 t=306594
hen xian zhu 	很顯著	c=1 d=1 t=597631
hen xiang 	很像	c=11 d=1 t=676289
hen xiang 	很想	c=3 d=1 t=573288
hen xiang 	很香	c=1 d=1 t=134445
hen xiang yao 	很想要	c=2 d=1 t=179670
hen xiao 	很小	c=11 d=1.00004 t=650954
hen xin 	狠心	c=3 d=1 t=739315
hen xin ku 	很辛苦	c=1 d=1 t=10573
hen xing 	很性	c=1 d=1 t=16519
hen xu yao 	很需要	c=1 d=1 t=635356
hen yan ge 	很嚴格	c=1 d=1 t=49054
hen yan zhong 	很嚴重	c=2 d=1 t=698150
hen yong xin 	很用心	c=2 d=1.84366 t=10549
hen you 	很有	c=42 d=1.00919 t=721086
hen you hao 	很有好	c=2 d=1 t=624917
hen you qu 	很有趣	c=1 d=1 t=60859
hen you xian 	很有限	c=1 d=1 t=489031
hen you yi si 	很有意思	c=1 d=1 t=135595
hen za 	很雜	c=1 d=1 t=301438
hen zai yi 	很在意	c=1 d=1 t=102412
hen zan 	很讚	c=1 d=1 t=336984
hen zao 	很早	c=36 d=1 t=690403
hen zao gao 	很糟糕	c=1 d=1 t=640005
hen zao zhi qian 	很早之前	c=2 d=1 t=615192
hen zheng chang 	很正常	c=6 d=1.97531 t=495454
hen zhong 	很重	c=5 d=1 t=519635
hen zhong yao 	很重要	c=13 d=1 t=633746
hen zhu yao 	很主要	c=1 d=1 t=287479
hen zhun 	很準	c=1 d=1 t=17533
hen zu 	很足	c=1 d=1 t=286502
hen zuo 	很做	c=4 d=1 t=656352
heng 	亨	c=1 d=1 t=374155
heng 	恆	c=4 d=1 t=494637
heng 	橫	c=3 d=1.79057 t=418256
heng fu 	橫幅	c=2 d=1.956 t=142085
heng kua 	橫跨	c=4 d=1.98511 t=533670
heng liang 	衡量	c=16 d=1 t=744272
heng ping 	橫屏	c=3 d=1.76338 t=119782
heng rong 	哼榮	c=1 d=1 t=247311
heng xiang 	橫向	c=71 d=1 t=737211
heng xiang xiang mu 	橫向項目	c=1 d=1 t=398944
heng xiang zu zhi 	橫向組織	c=1 d=1 t=237088
hong 	哄	c=1 d=1 t=337828
hong 	宏	c=19 d=1 t=708730
hong 	弘	c=2 d=1 t=470590
hong 	洪	c=9 d=1 t=618096
hong 	紅	c=8 d=1 t=477969
hong bao 	紅包	c=24 d=1.99005 t=717390
hong bao shu 	紅寶書	c=4 d=1 t=535656
hong bo 	宏波	c=5 d=1 t=622682
hong da 	宏大	c=3 d=1 t=627761
hong dian 	紅點	c=4 d=2.85698 t=438064
hong ding kun 	紅定坤	c=2 d=1 t=398538
hong ding yi 	宏定義	c=1 d=1 t=592370
hong guan 	宏觀	c=4 d=2.19094 t=519700
hong hai 	紅海	c=2 d=1 t=510947
hong hong 	哄哄	c=2 d=1.99005 t=84260
hong kuang 	紅框	c=24 d=1 t=718393
hong le 	哄了	c=1 d=1 t=645487
hong lian 	紅臉	c=1 d=1 t=450072
hong lou meng 	紅樓夢	c=1 d=1 t=677355
hong ma 	红码	c=2 d=1.23575 t=659607
hong meng 	鴻蒙	c=1 d=1 t=207689
hong ou xu 	紅藕許	c=1 d=1 t=107043
hong qiao 	紅橋	c=3 d=1 t=558555
hong qiao 	虹橋	c=2 d=1 t=614081
hong qiao huo che zhan 	虹橋火車站	c=1 d=1 t=259949
hong se 	巆色	c=2 d=1.99501 t=268790
hong se 	紅色	c=8 d=1 t=694752
hong se 	虹色	c=1 d=1 t=137123
hong shu 	紅薯	c=2 d=1 t=137125
hong tang 	烘堂	c=1 d=1 t=84135
hong tang 	紅糖	c=40 d=1 t=586546
hong tang 	鬨堂	c=1 d=1 t=20544
hong tao 	洪濤	c=7 d=1.93707 t=650041
hong tu 	宏圖	c=2 d=1 t=253581
hong wei 	宏偉	c=1 d=0.1 t=642726
hong xian 	紅線	c=5 d=1 t=719611
hong yan 	鴻雁	c=1 d=1 t=665000
hong zhuan 	紅磚	c=1 d=1 t=405152
hong zi 	紅字	c=2 d=1.86936 t=139716
hou 	侯	c=2 d=1.99501 t=599777
hou 	候	c=7 d=1 t=664477
hou 	後	c=34 d=0.1 t=720644
hou ban nian 	後半年	c=2 d=1 t=508383
hou bei 	後備	c=5 d=1 t=671874
hou dong 	後動	c=1 d=1 t=444832
hou du 	厚度	c=4 d=1 t=657202
hou duan 	後端	c=234 d=0.1 t=744371
hou dun 	後盾	c=1 d=1 t=108048
hou fa 	後發	c=2 d=1 t=258298
hou gu zhi you 	後顧之憂	c=1 d=1 t=511039
hou gui 	後貴	c=1 d=1 t=629264
hou guo 	後果	c=4 d=1 t=594411
hou hua 	後話	c=1 d=1 t=625745
hou hui 	後悔	c=7 d=1.79453 t=695380
hou lai 	後來	c=283 d=1 t=743486
hou lai qu 	後來去	c=1 d=1 t=57753
hou lai zhe 	後來者	c=1 d=1 t=334545
hou lang 	後浪	c=3 d=1 t=84262
hou long tong 	喉嚨痛	c=1 d=1 t=598583
hou men 	後門	c=3 d=1.91393 t=478886
hou mian 	後面	c=185 d=1.00499 t=740133
hou mian hai yao 	後面還要	c=1 d=1 t=554060
hou nian 	後年	c=1 d=1 t=330559
hou nian ma yue 	猴年馬月	c=4 d=1 t=263790
hou qi 	後期	c=25 d=1 t=614953
hou shi 	後事	c=3 d=1 t=573459
hou tai 	後臺	c=59 d=1 t=745350
hou tian 	後天	c=8 d=1 t=578131
hou tui 	後退	c=1 d=1 t=152494
hou xian 	後弦	c=0 d=0.1 t=338767
hou xian ren 	後弦人	c=1 d=1 t=338768
hou xu 	後續	c=1774 d=1.00003 t=743925
hou xu an ran 	後續黯然	c=1 d=1 t=525308
hou xu jian yi 	後續建議	c=2 d=1.90484 t=53764
hou xu ren 	後續人	c=4 d=1 t=717732
hou xu you 	後續有	c=1 d=1 t=441931
hou xuan 	候選	c=5 d=1 t=546605
hou xuan ren 	候選人	c=336 d=1.00103 t=739276
hou xuan ren de 	候選人的	c=1 d=1 t=68907
hou xun ren 	後尋人	c=1 d=1 t=720645
hou ye 	侯爺	c=1 d=1 t=518004
hou zhe 	後者	c=2 d=1 t=724859
hou zhi 	後置	c=2 d=1 t=300267
hou zhi hou jue 	後知後覺	c=1 d=1 t=288531
hou zhui 	後綴	c=12 d=1 t=745378
hou zhui ming 	後綴名	c=2 d=1 t=454608
hu 	互	c=3 d=1 t=305434
hu 	呼	c=1 d=1 t=264240
hu 	戶	c=0 d=0.1 t=331151
hu 	湖	c=2 d=1 t=547921
hu 	滬	c=3 d=1.83946 t=614138
hu 	胡	c=45 d=1 t=744238
hu bin 	胡斌	c=1 d=1 t=244519
hu bu 	互不	c=0 d=0.1 t=261487
hu bu 	互補	c=9 d=1 t=734785
hu bu ying xiang 	互不影響	c=2 d=1 t=685170
hu cao zuo xing 	互操作性	c=2 d=1.99501 t=653216
hu che 	胡扯	c=1 d=1 t=681480
hu chi 	互斥	c=1 d=1 t=558906
hu die 	蝴蝶	c=0 d=0.1 t=678678
hu dong 	互動	c=19 d=1 t=738207
hu dong 	滬東	c=17 d=1 t=732872
hu dong xin cun 	滬東新村	c=2 d=1 t=581969
hu dong xin qu 	滬東新區	c=1 d=1 t=377000
hu dong xing 	互動性	c=1 d=1 t=234694
hu gao 	胡攪	c=1 d=1 t=666360
hu gu 	虎骨	c=2 d=1 t=364383
hu hui 	互惠	c=1 d=1 t=173685
hu jiao 	呼叫	c=1 d=1 t=449361
hu jin 	互金	c=1 d=1 t=650869
hu kou 	戶口	c=45 d=1 t=706564
hu kou ben 	戶口本	c=14 d=1 t=611327
hu kou bo 	戶口簿	c=1 d=1 t=376118
hu li 	護理	c=4 d=3.68058 t=732833
hu lian 	互聯	c=1 d=1 t=272254
hu lian wang 	互聯網	c=34 d=1 t=722435
hu lu 	葫蘆	c=0 d=0.1 t=706564
hu lu e 	葫蘆額	c=1 d=1 t=706565
hu luan 	胡亂	c=1 d=1 t=631221
hu lve 	忽略	c=118 d=1 t=745229
hu lve zhe ge 	忽略這個	c=1 d=1 t=357325
hu ming 	戶名	c=1 d=1 t=501152
hu ren 	唬人	c=1 d=1 t=124245
hu shi 	忽視	c=3 d=1 t=720017
hu shi 	護士	c=9 d=3.86658 t=613797
hu shu 	戶數	c=1 d=1 t=685163
hu tai 	呼臺	c=5 d=1 t=473785
hu tong 	互通	c=6 d=1 t=648502
hu tu zhang 	糊塗賬	c=0 d=0.1 t=658059
hu wai 	戶外	c=1 d=1 t=121760
hu xi 	呼吸	c=1 d=0.1 t=497019
hu xiang 	互相	c=6 d=1 t=719538
hu xing 	戶型	c=1 d=1 t=5935
hu xiu 	呼咻	c=1 d=1 t=685789
hu ya 	虎牙	c=2 d=1 t=119294
hu yi 	狐疑	c=5 d=1.91393 t=595192
hu you 	忽悠	c=23 d=1 t=546409
hu you dao 	忽悠到	c=1 d=1 t=190163
hu you ren 	忽悠人	c=1 d=1 t=88275
hu yu yan fa 	互娛研發	c=4 d=3.91635 t=212545
hu zhao 	護照	c=61 d=1 t=710192
hu zhao hao 	護照號	c=1 d=1 t=613958
hu zhe 	護着	c=3 d=1 t=440159
hu zhou 	湖州	c=1 d=1 t=652607
hu zhu 	戶主	c=1 d=1 t=614145
hu zou 	胡謅	c=0 d=0.1 t=543039
hu zou eh 	胡謅誒	c=2 d=1 t=434246
hu zou he 	胡謅和	c=1 d=1 t=543040
hua 	化	c=143 d=1 t=733786
hua 	畫	c=48 d=1.38674 t=725834
hua 	花	c=3 d=1 t=717296
hua 	華	c=20 d=1 t=742884
hua 	話	c=588 d=1.001 t=744173
hua ban 	畫板	c=1 d=1 t=48521
hua biao ge 	畫表格	c=1 d=1.1 t=123991
hua biao ge ke 	畫表格可	c=1 d=1 t=123992
hua bing 	畫餅	c=8 d=1 t=554438
hua bu 	畫布	c=41 d=1 t=744314
hua bu chu qu 	話不出去	c=1 d=1 t=53279
hua bu de 	畫布的	c=1 d=1 t=693721
hua chang 	話長	c=1 d=1 t=684123
hua chu 	劃出	c=0 d=0.1 t=359860
hua chu 	滑出	c=1 d=1 t=451725
hua chu lai 	畫出來	c=2 d=1 t=739598
hua chu qu 	劃出去	c=3 d=1 t=609494
hua cu 	花簇	c=0 d=0.1 t=654566
hua cuo 	畫錯	c=1 d=1 t=410589
hua dao 	劃到	c=3 d=1 t=364706
hua diao 	劃掉	c=1 d=1 t=56122
hua diao 	花掉	c=7 d=1.8781 t=463499
hua dong 	滑動	c=2 d=1 t=521196
hua dong 	華東	c=2 d=1 t=521197
hua er bu shi 	華而不實	c=1 d=1 t=278643
hua er jie 	華爾街	c=1 d=1 t=200861
hua fan wei jian 	化繁爲簡	c=8 d=2.09309 t=421762
hua fei 	花費	c=18 d=1 t=720737
hua fei 	話費	c=3 d=1 t=234503
hua fen 	劃分	c=59 d=1 t=734524
hua feng 	畫風	c=3 d=1 t=202103
hua gang yan 	花崗岩	c=1 d=1 t=310372
hua ge 	花個	c=9 d=1 t=736275
hua gei 	畫給	c=4 d=1 t=532741
hua guang 	花光	c=1 d=1 t=599344
hua guo 	劃過	c=1 d=1 t=616521
hua guo lai 	划過來	c=2 d=1 t=485326
hua hua 	嘩嘩	c=1 d=1 t=34804
hua hua 	畫畫	c=4 d=1 t=678774
hua jia 	畫家	c=1 d=1 t=479759
hua ju hua shuo 	話距話說	c=1 d=1 t=444548
hua kun 	話困	c=1 d=1 t=150233
hua la la 	嘩啦啦	c=1 d=1 t=414313
hua lao 	話癆	c=1 d=1 t=460070
hua le 	化了	c=0 d=0.1 t=274634
hua le 	畫了	c=8 d=1 t=567991
hua le 	花了	c=5 d=1 t=586743
hua mian 	畫面	c=2 d=1 t=549874
hua ming 	花名	c=8 d=1.00239 t=627611
hua ming ce 	花名冊	c=1 d=1 t=579132
hua nan 	華南	c=1 d=1 t=521198
hua po 	滑坡	c=1 d=1 t=429905
hua qian 	花錢	c=4 d=1 t=737685
hua ren 	華人	c=12 d=2.17044 t=624398
hua ru 	劃入	c=1 d=1 t=506052
hua sa 	花灑	c=1 d=1 t=520653
hua sha 	華沙	c=1 d=1 t=33364
hua shi 	花式	c=2 d=1.30422 t=229771
hua shi jian 	花時間	c=4 d=1 t=714083
hua shu 	花束	c=1 d=1 t=239568
hua shui 	划水	c=1 d=1 t=181588
hua shui 	滑水	c=2 d=1 t=596294
hua shuo 	話說	c=57 d=1 t=741330
hua si qu 	話死去	c=1 d=1 t=598895
hua suan 	划算	c=1 d=1 t=316279
hua ta 	华佗	c=1 d=1 t=464068
hua tai 	華泰	c=127 d=1 t=597563
hua tai zheng quan 	華泰證券	c=2 d=1 t=244773
hua ti 	話題	c=40 d=1.98027 t=743554
hua ti qun 	話題羣	c=2 d=1 t=531616
hua tu 	畫圖	c=4 d=1 t=687547
hua tuo 	華佗	c=1 d=1 t=249129
hua wei 	華爲	c=27 d=1 t=691681
hua wei yun 	華爲雲	c=2 d=1.85642 t=18816
hua xia 	華夏	c=1 d=1 t=225196
hua xian 	劃線	c=1 d=1 t=214437
hua xian 	滑縣	c=1 d=1 t=214436
hua xiang 	畫像	c=9 d=1 t=691822
hua xiao 	花銷	c=1 d=1 t=624312
hua xue 	化學	c=1 d=1 t=343040
hua yang 	花樣	c=1 d=1 t=741531
hua yang hua bing 	花樣滑冰	c=1 d=1 t=496512
hua yang lai 	花樣來	c=1 d=1 t=426622
hua yi 	畫一	c=0 d=0.1 t=177478
hua yi xia 	畫一下	c=1 d=1 t=177479
hua yu quan 	話語權	c=5 d=1.96561 t=579554
hua zai 	花在	c=1 d=1 t=599283
hua zhong 	華中	c=2 d=1 t=611322
hua zhong dian 	化重點	c=1 d=1 t=725643
huai 	壞	c=9 d=1 t=658116
huai 	懷	c=2 d=1 t=626865
huai chu 	壞處	c=10 d=1 t=726230
huai le 	壞了	c=2 d=1.09851 t=669713
huai nian 	懷念	c=1 d=1 t=460633
huai ren 	壞人	c=2 d=1 t=494064
huai shi 	壞事	c=0 d=0.1 t=230955
huai shi er 	壞事兒	c=4 d=1 t=682634
huai si 	壞死	c=0 d=0.1 t=285723
huai tai 	懷胎	c=1 d=1 t=269427
huai xiao xi 	壞消息	c=6 d=1 t=695197
huai yi 	懷疑	c=17 d=1 t=736752
huai yi tai du 	懷疑態度	c=1 d=1 t=483111
huai yun 	懷孕	c=5 d=1 t=666559
huai zai 	壞在	c=1 d=1 t=568002
huan 	患	c=1 d=1 t=444840
huan 	換	c=124 d=1 t=729279
huan 	歡	c=1 d=1 t=621539
huan 	環	c=3 d=1 t=576698
huan 	緩	c=5 d=1 t=618886
huan 	還	c=14 d=1 t=656306
huan bi 	環比	c=1 d=1 t=470072
huan bu men 	換部門	c=1 d=1 t=143109
huan che 	換車	c=1 d=1 t=619036
huan che 	還車	c=2 d=1.51944 t=737033
huan cheng 	換成	c=28 d=1.75578 t=745081
huan cheng shui 	換成誰	c=1 d=1 t=630317
huan chong qi 	緩衝器	c=1 d=1 t=263721
huan cun 	緩存	c=130 d=1.80252 t=745071
huan dai 	換代	c=1 d=1 t=544006
huan dao 	換到	c=10 d=1 t=647775
huan dao 	環島	c=6 d=1 t=598539
huan deng pian 	幻燈片	c=1 d=1 t=259732
huan di zhi 	換地址	c=1 d=1 t=303816
huan diao 	換掉	c=5 d=1 t=713016
huan diao 	還掉	c=1 d=1 t=281139
huan ge 	換個	c=116 d=1 t=736277
huan ge hang 	換個行	c=1 d=1 t=691529
huan ge ren 	換個人	c=3 d=1 t=700964
huan ge xue xiao 	換個學校	c=1 d=1 t=447986
huan gei 	還給	c=1 d=1 t=86349
huan gong zuo 	換工作	c=13 d=1.00482 t=676267
huan guo 	換過	c=2 d=1 t=489523
huan guo lai 	換過來	c=1 d=1 t=342134
huan guo qu 	換過去	c=1 d=1 t=395513
huan hai 	宦海	c=0 d=0.1 t=601360
huan hai hang xing 	宦海航行	c=1 d=1 t=601361
huan hang 	換行	c=5 d=1 t=737806
huan he 	緩和	c=6 d=1 t=737805
huan huan 	緩緩	c=2 d=1 t=479151
huan hui qu 	換回去	c=2 d=1 t=665351
huan ji 	換機	c=2 d=1 t=581814
huan jie 	環節	c=97 d=1 t=742039
huan jie 	緩解	c=10 d=1 t=581817
huan jie er 	環節兒	c=1 d=1 t=144882
huan jie le 	緩解了	c=1 d=1 t=239016
huan jing 	環境	c=453 d=1.06416 t=745038
huan jing bian liang 	環境變量	c=2 d=1 t=657672
huan ju hua 	換句話	c=2 d=1 t=563929
huan ju hua shuo 	換句話說	c=2 d=1 t=653324
huan kuan 	還款	c=6 d=3.09784 t=463522
huan le 	換了	c=43 d=1 t=737967
huan le 	歡樂	c=1 d=1 t=681902
huan ling wai 	換另外	c=1 d=1 t=460868
huan man 	緩慢	c=6 d=1 t=579346
huan ping 	環評	c=2 d=1 t=404263
huan qi 	喚起	c=1 d=1 t=726174
huan qian 	換錢	c=1 d=1 t=202261
huan qing 	還清	c=1 d=1 t=463389
huan qiu 	環球	c=7 d=1 t=369548
huan qu 	換取	c=2 d=1 t=407580
huan ren 	換人	c=2 d=1 t=382764
huan shi jian 	換時間	c=1 d=1 t=713214
huan song 	歡送	c=1 d=1 t=638596
huan suan 	換算	c=5 d=1 t=744757
huan wei 	換位	c=2 d=0.1 t=574608
huan wei 	環衛	c=1 d=1 t=427358
huan wei si kao 	換位思考	c=1 d=1 t=169025
huan xie 	換鞋	c=1 d=1 t=401134
huan xue 	換血	c=1 d=1 t=543688
huan yi ge 	換一個	c=2 d=1 t=678772
huan yi zhong 	換一種	c=1 d=1 t=461885
huan yin 	环印	c=1 d=1 t=253321
huan ying 	幻影	c=1 d=1 t=631244
huan ying 	歡迎	c=67 d=1 t=741623
huan ying huan ying 	歡迎歡迎	c=1 d=1 t=541960
huan yuan 	還原	c=5 d=1 t=644235
huan yuan du 	還原度	c=4 d=1 t=589772
huan zhe 	患者	c=2 d=1.78663 t=428794
huan zhong 	環中	c=1 d=1 t=206121
huang 	慌	c=1 d=1 t=525742
huang 	煌	c=1 d=1 t=10497
huang 	黃	c=114 d=1 t=647407
huang deng 	黃燈	c=4 d=1 t=670358
huang di 	皇帝	c=1 d=1 t=480378
huang dong 	晃動	c=1 d=1 t=537253
huang du 	黃毒	c=0 d=0.1 t=738093
huang du du 	黃毒度	c=1 d=1 t=738094
huang er 	黃而	c=1 d=1 t=493923
huang guan 	皇冠	c=5 d=2.92502 t=320870
huang jin 	黃金	c=3 d=1 t=696891
huang jun 	黃軍	c=10 d=1 t=464596
huang jun bin 	黃軍斌	c=32 d=1 t=260167
huang le 	黃了	c=6 d=2.9605 t=639713
huang ma 	黄码	c=8 d=1 t=627978
huang niu 	黃牛	c=1 d=1 t=500180
huang pi 	黃皮	c=1 d=1 t=410248
huang se 	黃色	c=7 d=1 t=694755
huang se de 	黃色的	c=1 d=1 t=173341
huang shan 	黃山	c=1 d=1 t=608529
huang tang 	荒唐	c=1 d=1 t=47873
huang tiao 	黃條	c=1 d=1 t=521380
huang wu 	荒蕪	c=1 d=1 t=205449
huang ye 	黃頁	c=1 d=1 t=675306
huang zhuang 	黃莊	c=1 d=1 t=116646
huang zuan 	黃鑽	c=1 d=1 t=232267
huang zuan xia 	黃鑽下	c=1 d=1 t=175869
hui 	匯	c=3 d=1 t=371655
